"filename", "language", "JavaScript", "XML", "Markdown", "JSON", "TypeScript", "JSON with Comments", "CSS", "Log", "comment", "blank", "total"
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\.eslintrc.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\About\aboutus.css", "CSS", 0, 0, 0, 0, 0, 0, 108, 0, 0, 20, 128
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\About\page.jsx", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 0, 2, 3, 134
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Contact\page.jsx", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 9, 145
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Contact\style.css", "CSS", 0, 0, 0, 0, 0, 0, 156, 0, 1, 24, 181
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Documentation\page.jsx", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 4, 24
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\BoardEmployee\page.jsx", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 4, 5, 46
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\BoardEmployee\style.css", "CSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Invitation\page.jsx", "JavaScript", 188, 0, 0, 0, 0, 0, 0, 0, 6, 14, 208
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Invitation\style.css", "CSS", 0, 0, 0, 0, 0, 0, 25, 0, 2, 3, 30
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Notification\page.jsx", "JavaScript", 194, 0, 0, 0, 0, 0, 0, 0, 2, 15, 211
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Notification\style.css", "CSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\ProfileSettings\page.jsx", "JavaScript", 319, 0, 0, 0, 0, 0, 0, 0, 3, 8, 330
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Project\Board\page.jsx", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 1, 8, 119
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Project\Board\style.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Project\Gantt\page.jsx", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Project\Gantt\style.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Project\Kanban\page.jsx", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 0, 1, 10, 103
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Project\Kanban\style.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Project\Scheduler\page.jsx", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 7, 13, 133
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Project\Scheduler\style.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\SchedulerEmployee\page.jsx", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 10, 134
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\SchedulerEmployee\style.css", "CSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Task\FileViewer\page.jsx", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Task\page.jsx", "JavaScript", 1885, 0, 0, 0, 0, 0, 0, 0, 13, 53, 1951
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Task\style.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 1, 3, 13
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\TeamEmployee\page.jsx", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\TeamEmployee\style.css", "CSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Teams\page.jsx", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 6, 40
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Employee\Teams\style.css", "CSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\ErrorPage\page.jsx", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\In\page.jsx", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 0, 24, 19, 219
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\In\style.css", "CSS", 0, 0, 0, 0, 0, 0, 25, 0, 2, 3, 30
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\LandingPage\page.jsx", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\LandingPage\style.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 1, 0, 7
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Up\BusinessUsers\page.jsx", "JavaScript", 1507, 0, 0, 0, 0, 0, 0, 0, 31, 38, 1576
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Up\BusinessUsers\style.css", "CSS", 0, 0, 0, 0, 0, 0, 29, 0, 1, 5, 35
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Up\Individuals\page.jsx", "JavaScript", 406, 0, 0, 0, 0, 0, 0, 0, 19, 24, 449
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Up\Individuals\style.css", "CSS", 0, 0, 0, 0, 0, 0, 25, 0, 1, 4, 30
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Up\page.jsx", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\Up\style.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 1, 7, 10
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\context\AuthContext.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 5, 18, 141
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\firebase\config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\layout.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 5, 4, 44
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\app\[locale]\page.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 5, 4, 20
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\AccountTypeCard\index.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 1, 7, 110
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\AccountTypeCard\style.css", "CSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Calendrier\index.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Calendrier\style.css", "CSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\DescriptionTask\index.js", "JavaScript", 211, 0, 0, 0, 0, 0, 0, 0, 1, 9, 221
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\DocumentationComponent\index.js", "JavaScript", 751, 0, 0, 0, 0, 0, 0, 0, 2, 10, 763
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Main\index.jsx", "JavaScript", 614, 0, 0, 0, 0, 0, 0, 0, 14, 27, 655
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Main\style.css", "CSS", 0, 0, 0, 0, 0, 0, 32, 0, 1, 7, 40
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\AddProjectForm\index.jsx", "JavaScript", 699, 0, 0, 0, 0, 0, 0, 0, 17, 42, 758
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\AddProjectForm\style.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\AddTaskFrom\index.jsx", "JavaScript", 350, 0, 0, 0, 0, 0, 0, 0, 5, 29, 384
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\Main\BoardMain\index.jsx", "JavaScript", 298, 0, 0, 0, 0, 0, 0, 0, 7, 22, 327
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\Main\BoardMain\style.css", "CSS", 0, 0, 0, 0, 0, 0, 11, 0, 1, 2, 14
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\Main\DetailsMain\index.js", "JavaScript", 312, 0, 0, 0, 0, 0, 0, 0, 2, 16, 330
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\Main\DetailsMain\style.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 1, 3, 13
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\Main\Kanban\components\Column\index.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 1, 11, 93
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\Main\Kanban\components\Column\style.css", "CSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\Main\Kanban\index.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 2, 11, 152
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\Main\Kanban\style.css", "CSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\Main\index.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\MenuProject\index.jsx", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\SideBar\index.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 6, 102
"d:\Etudes\M2\PFE\code\repWalid\frontPfeMaster\components\Employee\Project\SideBar\style.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
